Ranking,F1-Macro Medio,Desviacion Estandar,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
1,0.9916698113137673,0.003899239822172589,300,100,2,1,log2
2,0.9884729254636991,0.005299607514368693,200,70,2,1,log2
3,0.988123556632261,0.00622245730490756,100,,10,1,log2
4,0.9866483714451414,0.00913148233530488,200,,10,1,sqrt
5,0.9854663075765423,0.006668802219628014,100,100,10,1,log2
6,0.9845879471286021,0.010113898588457694,100,,2,2,sqrt
7,0.9802798567037362,0.007796818745004522,200,50,5,1,log2
8,0.9800381663041655,0.00797624085456038,100,70,10,1,log2
9,0.9789456732588498,0.009374070797238737,200,70,2,2,sqrt
10,0.9784181866710059,0.01247993067719135,400,,2,4,sqrt
11,0.9766660826641727,0.010331300315741724,300,70,10,2,sqrt
12,0.9744971256235856,0.01323751029854441,100,,2,4,sqrt
13,0.9736175007600604,0.011170996948177499,400,,10,2,log2
14,0.9731504114435983,0.012702079558711759,500,100,5,4,sqrt
14,0.9731504114435983,0.012702079558711759,500,100,2,4,sqrt
16,0.9729838359998952,0.008969413174434343,100,50,2,1,log2
17,0.9726196657808558,0.01225984255654975,400,100,5,4,sqrt
18,0.9722714779216036,0.01161266564911839,300,,10,2,log2
19,0.9716119574382495,0.010954175856797813,500,100,2,2,log2
20,0.9711254823792214,0.011127253164375699,400,100,2,2,log2
21,0.9706427796488643,0.012326022104081687,200,100,5,4,sqrt
22,0.9697106914231292,0.00898091889694112,100,50,2,1,sqrt
23,0.9669165441538933,0.009860161665557749,100,50,5,1,sqrt
24,0.9659870372267904,0.013183367101771938,100,100,5,4,sqrt
25,0.9638537845568814,0.012565912218580558,100,,10,2,log2
26,0.9636162906075872,0.011130737474110869,300,30,2,1,log2
27,0.9630147721725001,0.01113322953424772,400,70,5,2,log2
28,0.955109773038692,0.012886742396741167,100,70,10,4,sqrt
29,0.9526688613024223,0.012082537702541444,100,100,10,2,log2
30,0.9525767348711515,0.012454292382802452,300,50,10,4,sqrt
31,0.9499652134534861,0.01338362546540788,200,50,2,4,sqrt
32,0.9471296042138215,0.011799951480029847,300,50,5,2,log2
33,0.9434457227552895,0.01372033124206718,500,,2,4,log2
34,0.9422122037903934,0.014090145878257587,400,,2,4,log2
35,0.9402018042556216,0.014452596854527607,300,,2,4,log2
35,0.9402018042556216,0.014452596854527607,300,,5,4,log2
37,0.9377615193027727,0.01315307868311571,100,50,2,4,sqrt
38,0.93690487910377,0.011845590115347847,400,30,5,2,sqrt
39,0.9362835990836458,0.014669130939295704,200,,2,4,log2
40,0.9321973360216692,0.013466540346048265,500,100,5,4,log2
41,0.928366193420645,0.012883659975894815,200,30,10,1,sqrt
42,0.9276560068637411,0.012752584585179916,300,30,10,2,sqrt
43,0.9275843626068906,0.013476651721453474,300,100,2,4,log2
44,0.9264003171087576,0.013790419471802646,300,100,10,4,log2
45,0.9259900164218778,0.01361218703314177,100,30,5,1,log2
46,0.9237749007199417,0.014893438305890766,100,,2,4,log2
47,0.9221808049749032,0.013472450735475398,200,100,5,4,log2
48,0.9210346956341168,0.012731467404788694,200,30,10,2,sqrt
49,0.9198594386046753,0.012687916065991844,500,70,5,4,log2
50,0.9172832080411183,0.012932814525851297,500,30,2,4,sqrt
51,0.9138515363477241,0.011980221552908982,400,30,2,2,log2
52,0.9055461101583974,0.01277138364681019,200,70,10,4,log2
53,0.9048297249217013,0.01294675326828159,300,30,5,2,log2
54,0.9045747389011839,0.014435365116905276,100,100,10,4,log2
55,0.8999056583265022,0.012756119540703747,200,30,10,4,sqrt
56,0.8965326591807443,0.010737202510458047,400,50,10,4,log2
57,0.8835026666922094,0.012239883694846394,100,70,10,4,log2
58,,,500,70,2,2,log2
58,,,500,,5,4,sqrt
58,,,500,,5,1,sqrt
