Ranking,F1-Macro Medio,Desviacion Estandar,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features
1,0.5838180401346629,0.014368641419172793,300,100,2,1,log2
2,0.5670868383770528,0.01966510636433966,500,,5,1,sqrt
3,0.5602991983113248,0.013460570643265389,100,,10,1,log2
4,0.5474918600123172,0.01988658940761555,200,,10,1,sqrt
5,0.5459398596744435,0.020719172639492505,200,70,2,1,log2
6,0.5246730039529247,0.019537369006832183,100,100,10,1,log2
7,0.5140451742410029,0.014420343831725501,100,,2,2,sqrt
8,0.49772946954602043,0.013347704548865462,200,50,5,1,log2
9,0.4920229809527168,0.019499599778414478,500,,5,4,sqrt
10,0.49170969075793564,0.0187700271256967,400,,2,4,sqrt
11,0.4887218549794241,0.011017390551288312,100,70,10,1,log2
12,0.4730802576257777,0.02026440360372717,100,,2,4,sqrt
13,0.4707061256011385,0.019176867561203004,200,70,2,2,sqrt
14,0.4703000479421659,0.020998740293952885,300,70,10,2,sqrt
15,0.4695569491033453,0.01508766510718423,100,50,2,1,log2
16,0.4645177130151614,0.012814335373662928,400,,10,2,log2
17,0.4610531667711708,0.012707159693100203,400,100,5,4,sqrt
18,0.46056084295628685,0.017471600899489542,500,100,5,4,sqrt
18,0.46056084295628685,0.017471600899489542,500,100,2,4,sqrt
20,0.46014214766927114,0.012444796903365753,300,,10,2,log2
21,0.4580208217197604,0.020507673254682907,100,50,2,1,sqrt
22,0.4526579529360168,0.01234159643231986,200,100,5,4,sqrt
23,0.45134133833358253,0.020706335340340862,100,50,5,1,sqrt
24,0.44784097024740827,0.01311232896376951,500,100,2,2,log2
25,0.4435400056498873,0.014422815283686866,400,100,2,2,log2
26,0.434574624955757,0.010247408338076889,100,100,5,4,sqrt
27,0.43036813744298374,0.013231362013280871,300,30,2,1,log2
28,0.426518700669216,0.012647444337709412,500,70,2,2,log2
29,0.4208291146270624,0.011172240837926424,100,,10,2,log2
30,0.4197383924768778,0.01575742707446849,400,70,5,2,log2
31,0.41272429306587255,0.009425565513066662,300,50,10,4,sqrt
32,0.4044326863886513,0.017003853066674318,100,70,10,4,sqrt
33,0.40413510794986546,0.012297960676487016,200,50,2,4,sqrt
34,0.401839875023353,0.008022379783206142,400,30,5,2,sqrt
35,0.3939043558995678,0.016025161991954102,200,30,10,1,sqrt
36,0.3868397455673415,0.00903087271449028,300,30,10,2,sqrt
37,0.38642565034663184,0.012850794784609565,100,100,10,2,log2
38,0.3828598832013151,0.010458742557677212,500,,2,4,log2
39,0.3799741573698456,0.010207399577705339,400,,2,4,log2
40,0.3794834186311496,0.014113817550840707,300,50,5,2,log2
41,0.37943968568169684,0.01454040587836874,100,50,2,4,sqrt
42,0.37602530768281506,0.009323514577228822,300,,2,4,log2
42,0.37602530768281506,0.009323514577228822,300,,5,4,log2
44,0.37458017229862933,0.011001951890435017,500,30,2,4,sqrt
45,0.3744680144280293,0.013393374151418594,200,30,10,2,sqrt
46,0.3650625405858145,0.012096780814806267,200,,2,4,log2
47,0.358436453665711,0.013812460611559153,500,100,5,4,log2
48,0.34929417834201604,0.014882823799007058,100,30,5,1,log2
49,0.3474806439787504,0.010945437938668152,200,30,10,4,sqrt
50,0.3471620032733795,0.010921676942782335,300,100,2,4,log2
51,0.3460237521151184,0.011464297217557397,300,100,10,4,log2
52,0.3391801979695995,0.009103835148219861,500,70,5,4,log2
53,0.3362108382544302,0.01204438068101518,200,100,5,4,log2
54,0.3359831967268556,0.010836153407191334,100,,2,4,log2
55,0.3344625770565773,0.01036067692403586,400,30,2,2,log2
56,0.3200384965802014,0.007058086285126509,200,70,10,4,log2
57,0.3188665021358195,0.008514134614597596,300,30,5,2,log2
58,0.3113376251454915,0.013628213310444668,400,50,10,4,log2
59,0.30705422279192024,0.008130568199640935,100,100,10,4,log2
60,0.287535447535411,0.006831918932238534,100,70,10,4,log2
