Modelo,Condicion,F1-Macro,F1-Micro,Precision (Macro),Recall (Macro),Tiempo (seg)
Naive Bayes,Sin SMOTE,0.028,0.1721,0.0949,0.0428,0.04
Linear SVC,Sin SMOTE,0.4702,0.425,0.5393,0.4343,11.07
Regresion Logistica,Sin SMOTE,0.1553,0.2824,0.3,0.1472,10.93
Random Forest,Sin SMOTE,0.6538,0.6064,0.8596,0.5629,6.26
LightGBM,Sin SMOTE,0.0045,0.0606,0.0045,0.01,92.24
XGBoost,Sin SMOTE,0.4278,0.4379,0.6047,0.3671,351.98
Naive Bayes,Con SMOTE,0.3051,0.2647,0.2974,0.3963,0.43
Linear SVC,Con SMOTE,0.4768,0.4066,0.4695,0.5095,80.93
Regresion Logistica,Con SMOTE,0.4201,0.343,0.4121,0.4608,74.17
Random Forest,Con SMOTE,0.6818,0.6499,0.7838,0.6262,131.84
LightGBM,Con SMOTE,0.0013,0.0134,0.004,0.0128,622.33
XGBoost,Con SMOTE,0.4386,0.418,0.5398,0.3916,1429.66
